Time,Abstich GOK
2025-03-04 22:00:00,7.81 mm
2025-03-05 04:00:00,7.37 mm
2025-03-05 07:00:00,6.83 mm
2025-03-05 10:00:00,6.91 mm
2025-03-05 16:00:00,6.27 mm
2025-03-05 19:00:00,6.44 mm
2025-03-05 22:00:00,6.06 mm
2025-03-06 04:00:00,5.88 mm
2025-03-06 07:00:00,5.39 mm
2025-03-06 10:00:00,3.78 mm
2025-03-06 16:00:00,4.61 mm
2025-03-06 19:00:00,4.59 mm
2025-03-06 22:00:00,4.15 mm
2025-03-07 04:00:00,3.96 mm
2025-03-07 07:00:00,3.13 mm
2025-03-07 10:00:00,1.24 mm
2025-03-07 16:00:00,1.22 mm
2025-03-07 19:00:00,2.11 mm
2025-03-07 22:00:00,2.04 mm
2025-03-08 04:00:00,2.07 mm
2025-03-08 07:00:00,1.80 mm
2025-03-08 10:00:00,-626.82 µm
2025-03-08 16:00:00,-951.31 µm
2025-03-08 19:00:00,315.04 µm
2025-03-08 22:00:00,354.31 µm
2025-03-09 04:00:00,628.73 µm
2025-03-09 07:00:00,382.04 µm
2025-03-09 10:00:00,-1.60 mm
2025-03-09 16:00:00,-2.20 mm
2025-03-09 19:00:00,-624.54 µm
2025-03-09 22:00:00,-671.57 µm
2025-03-10 04:00:00,-339.34 µm
2025-03-10 07:00:00,-728.55 µm
2025-03-10 10:00:00,-2.44 mm
2025-03-10 16:00:00,-2.30 mm
2025-03-10 19:00:00,-1.83 mm
2025-03-10 22:00:00,-2.17 mm
2025-03-11 04:00:00,-2.36 mm
2025-03-11 07:00:00,-2.47 mm
2025-03-11 10:00:00,-2.70 mm
2025-03-11 16:00:00,-2.81 mm
2025-03-11 19:00:00,-2.82 mm
2025-03-11 22:00:00,-2.78 mm
2025-03-12 04:00:00,-2.98 mm
2025-03-12 07:00:00,-3.17 mm
2025-03-12 16:00:00,-3.65 mm
2025-03-12 19:00:00,-3.65 mm
2025-03-12 22:00:00,-3.99 mm
2025-03-13 04:00:00,-4.17 mm
2025-03-13 07:00:00,-4.84 mm
2025-03-13 10:00:00,-4.57 mm
2025-03-13 16:00:00,-5.06 mm
2025-03-13 19:00:00,-5.88 mm
2025-03-13 22:00:00,-5.84 mm
2025-03-14 04:00:00,-6.33 mm
2025-03-14 07:00:00,-7.14 mm
2025-03-14 19:00:00,-8.22 mm
2025-03-14 22:00:00,-9.55 mm
2025-03-15 04:00:00,-9.51 mm
2025-03-15 07:00:00,-10.09 mm
2025-03-15 10:00:00,-11.71 mm
2025-03-15 16:00:00,-11.61 mm
2025-03-15 19:00:00,-11.57 mm
2025-03-15 22:00:00,-11.57 mm
2025-03-16 04:00:00,-11.67 mm
2025-03-16 07:00:00,-12.45 mm
2025-03-16 10:00:00,-13.21 mm
2025-03-16 16:00:00,-13.10 mm
2025-03-16 19:00:00,-13.82 mm
2025-03-17 04:00:00,-14.39 mm
2025-03-17 07:00:00,-14.87 mm
2025-03-17 10:00:00,-16.36 mm
2025-03-17 16:00:00,-17.81 mm
2025-03-17 19:00:00,-17.10 mm
2025-03-17 22:00:00,-17.27 mm
2025-03-18 04:00:00,-17.51 mm
2025-03-18 07:00:00,-18.30 mm
2025-03-18 16:00:00,-20.15 mm
2025-03-18 19:00:00,-19.34 mm
2025-03-18 22:00:00,-19.31 mm
2025-03-19 04:00:00,-19.56 mm
2025-03-19 10:00:00,-21.86 mm
2025-03-19 16:00:00,-22.54 mm
2025-03-19 19:00:00,-21.65 mm
2025-03-19 22:00:00,-21.72 mm
2025-03-20 04:00:00,-21.80 mm
2025-03-20 07:00:00,-22.98 mm
2025-03-20 16:00:00,-24.66 mm
2025-03-20 19:00:00,-24.09 mm
2025-03-21 07:00:00,-24.57 mm
2025-03-21 10:00:00,-26.75 mm
2025-03-21 19:00:00,-26.68 mm
2025-03-21 22:00:00,-26.76 mm
2025-03-22 04:00:00,-26.48 mm
2025-03-22 07:00:00,-27.17 mm
2025-03-22 10:00:00,-29.18 mm
2025-03-22 16:00:00,-29.54 mm
2025-03-22 19:00:00,-30.34 mm
2025-03-22 22:00:00,-30.26 mm
2025-03-23 04:00:00,-30.71 mm
2025-03-23 07:00:00,-31.39 mm
2025-03-23 10:00:00,-32.73 mm
2025-03-23 16:00:00,-33.18 mm
2025-03-23 19:00:00,-33.14 mm
2025-03-23 22:00:00,-33.45 mm
2025-03-24 04:00:00,-33.68 mm
2025-03-24 07:00:00,-34.51 mm
2025-03-24 10:00:00,-35.40 mm
2025-03-24 16:00:00,-34.75 mm
2025-03-24 19:00:00,-34.44 mm
2025-03-24 22:00:00,-34.91 mm
